Site Id,Name,Met_Office_Id,Latitude,Longitude,Elevation
b91b10c5-701d-e811-a6d2-9cb6d0e28a40,NOUADHIBOU,61415,20.920278,-17.036389,2.58
bc1b10c5-701d-e811-a6d2-9cb6d0e28a40,ATAR,61421,20.516667,-13.066667,224
bf1b10c5-701d-e811-a6d2-9cb6d0e28a40,AKJOUJT,61437,19.75,-14.366667,120
c21b10c5-701d-e811-a6d2-9cb6d0e28a40,NOUAKCHOTT,61442,18.300278,-15.975556,7.86
c51b10c5-701d-e811-a6d2-9cb6d0e28a40,TIDJIKJA,61450,18.566667,-11.433333,402
c81b10c5-701d-e811-a6d2-9cb6d0e28a40,BOUTILIMIT,61461,17.533333,-14.683333,75
cb1b10c5-701d-e811-a6d2-9cb6d0e28a40,ALEG,61470,17.05,-12.916667,0
ce1b10c5-701d-e811-a6d2-9cb6d0e28a40,ROSSO,61489,16.5,-15.816667,6
cda298cb-701d-e811-a6d2-9cb6d0e28a40,KAEDI,61492,16.15,-13.516667,18
d0a298cb-701d-e811-a6d2-9cb6d0e28a40,NEMA,61497,16.6,-7.266667,269
d3a298cb-701d-e811-a6d2-9cb6d0e28a40,KIFFA,61498,16.633333,-11.4,115
d6a298cb-701d-e811-a6d2-9cb6d0e28a40,AIOUN EL ATROUSS,61499,16.7,-9.6,223
d9a298cb-701d-e811-a6d2-9cb6d0e28a40,SELIBABY,61510,15.233333,-12.166667,0
dca298cb-701d-e811-a6d2-9cb6d0e28a40,BASSIKOUNOU,61520,15.866667,-5.933333,0
dfa298cb-701d-e811-a6d2-9cb6d0e28a40,SAINT-LOUIS,61600,16.05,-16.449722,2.16
e2a298cb-701d-e811-a6d2-9cb6d0e28a40,PODOR,61612,16.649722,-14.929722,5.73
e5a298cb-701d-e811-a6d2-9cb6d0e28a40,LINGUERE,61627,15.38,-15.119722,19.59
e8a298cb-701d-e811-a6d2-9cb6d0e28a40,MATAM,61630,15.63,-13.25,15.35
4bb21ad2-701d-e811-a6d2-9cb6d0e28a40,DAKAR/YOFF,61641,14.73,-17.5,24.49
4eb21ad2-701d-e811-a6d2-9cb6d0e28a40,DIOURBEL,61666,14.65,-16.23,7.11
51b21ad2-701d-e811-a6d2-9cb6d0e28a40,KAOLACK,61679,14.13,-16.07,6
54b21ad2-701d-e811-a6d2-9cb6d0e28a40,TAMBACOUNDA,61687,13.769722,-13.679722,48.68
57b21ad2-701d-e811-a6d2-9cb6d0e28a40,ZIGUINCHOR,61695,12.55,-16.269722,19.3
5ab21ad2-701d-e811-a6d2-9cb6d0e28a40,CAP-SKIRRING,61697,12.4,-16.75,48.68
5db21ad2-701d-e811-a6d2-9cb6d0e28a40,KOLDA,61698,12.88,-14.97,8.38
60b21ad2-701d-e811-a6d2-9cb6d0e28a40,KEDOUGOU,61699,12.57,-12.22,165.45
63b21ad2-701d-e811-a6d2-9cb6d0e28a40,BANJUL YUNDUM,61701,13.2,-16.633333,33
66b21ad2-701d-e811-a6d2-9cb6d0e28a40,SIBANOR,61705,13.216667,-16.2,0
456ca9d8-701d-e811-a6d2-9cb6d0e28a40,JENOI,61707,13.483333,-15.566667,0
486ca9d8-701d-e811-a6d2-9cb6d0e28a40,BANJUL HALF-DIE,61711,13.45,-16.45,2
4b6ca9d8-701d-e811-a6d2-9cb6d0e28a40,KEREWAN,61712,13.483333,-16.183333,15
4e6ca9d8-701d-e811-a6d2-9cb6d0e28a40,KAUR,61717,13.716667,-15.25,6
516ca9d8-701d-e811-a6d2-9cb6d0e28a40,KUNTAUR,61720,13.666667,-14.883333,0
546ca9d8-701d-e811-a6d2-9cb6d0e28a40,GEORGETOWN B302,61721,13.533333,-14.766667,1
